
Virus Strain Name,Accession ID,Data Source,Related ID,Nuc.Completeness,Sequence Length,Sequence Quality,Quality Assessment,Host,Sample Collection Date,Location,Originating Lab,Submission Date,Submitting Lab
BetaCoV/Fujian/13/2020,EPI_ISL_411066,GISAID,,Complete,29891,High,0/0/0/2/NO,Homo sapiens,2020-01-22,China / Fujian,Fujian Center for Disease Control and Prevention,2020-02-19,Fujian Center for Disease Control and Prevention
MP789,GWHABKW00000000,Genome Warehouse,MT084071,Complete,29380,Low,4039/0/NA/NA/NA,Manis javanica,2019-03-01,China,,2020-02-18,"Guangdong Institute of Applied Biological Resources, Guangdong Academy of Sciences"
BetaCoV/Singapore/7/2020,EPI_ISL_410713,GISAID,,Complete,29891,High,0/0/0/2/NO,Homo sapiens,2020-01-27,Singapore,"National Public Health Laboratory, National Centre for Infectious Diseases",2020-02-18,"National Public Health Laboratory, National Centre for Infectious Diseases"
BetaCoV/Singapore/8/2020,EPI_ISL_410714,GISAID,,Complete,29758,High,0/0/0/2/NO,Homo sapiens,2020-02-03,Singapore,"National Public Health Laboratory, National Centre for Infectious Diseases",2020-02-18,"National Public Health Laboratory, National Centre for Infectious Diseases"
BetaCoV/Singapore/9/2020,EPI_ISL_410715,GISAID,,Complete,29891,High,0/0/0/2/NO,Homo sapiens,2020-02-04,Singapore,"National Public Health Laboratory, National Centre for Infectious Diseases",2020-02-18,"National Public Health Laboratory, National Centre for Infectious Diseases"
BetaCoV/Singapore/10/2020,EPI_ISL_410716,GISAID,,Complete,29889,High,0/0/0/2/NO,Homo sapiens,2020-02-04,Singapore,"National Public Health Laboratory, National Centre for Infectious Diseases",2020-02-18,"National Centre for Infectious Diseases, National Centre for Infectious Diseases"
BetaCoV/Australia/QLD03/2020,EPI_ISL_410717,GISAID,,Complete,29865,High,0/0/0/5/NO,Homo sapiens,2020-02-05,Australia / Queensland / Gold Coast,Pathology Queensland,2020-02-18,Public Health Virology Laboratory
BetaCoV/Australia/QLD04/2020,EPI_ISL_410718,GISAID,,Complete,29865,High,0/0/0/4/NO,Homo sapiens,2020-02-05,Australia / Queensland / Gold Coast,Pathology Queensland,2020-02-18,Public Health Virology Laboratory
BetaCoV/Singapore/11/2020,EPI_ISL_410719,GISAID,,Complete,29845,High,0/0/0/2/NO,Homo sapiens,2020-02-02,Singapore,National Public Health Laboratory,2020-02-18,National Public Health Laboratory
BetaCoV/France/IDF0372-isl/2020,EPI_ISL_410720,GISAID,,Complete,29874,High,0/0/0/2/NO,Homo sapiens,2020-01-23,France / Ile-de-France / Paris,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris",2020-02-18,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
BetaCoV/pangolin/Guandong/1/2020,EPI_ISL_410721,GISAID,,Complete,29676,High,10/0/NA/NA/NA,Manis javanica,2019,China / Guangdong,South China Agricultural University,2020-02-18,South China Agricultural University
BetaCoV/France/IDF0515-isl/2020,EPI_ISL_410984,GISAID,,Complete,29903,High,0/0/0/3/NO,Homo sapiens,2020-01-29,France / Ile-de-France / Paris,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris",2020-02-18,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"
BetaCoV/Singapore/6/2020,EPI_ISL_410537,GISAID,,Complete,29829,High,0/0/0/1/NO,Homo sapiens,2020-02-09,Singapore,"Singapore General Hospital, Molecular Laboratory, Division of Pathology",2020-02-17,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"
BetaCoV/pangolin/Guangxi/P4L/2017,EPI_ISL_410538,GISAID,,Complete,29806,High,1/0/NA/NA/NA,Manis javanica,2017,China / Guangxi,Beijing Institute of Microbiology and Epidemiology,2020-02-17,Beijing Institute of Microbiology and Epidemiology
BetaCoV/pangolin/Guangxi/P1E/2017,EPI_ISL_410539,GISAID,,Complete,29801,High,0/0/NA/NA/NA,Manis javanica,2017,China / Guangxi,Beijing Institute of Microbiology and Epidemiology,2020-02-17,Beijing Institute of Microbiology and Epidemiology
BetaCoV/pangolin/Guangxi/P5L/2017,EPI_ISL_410540,GISAID,,Complete,29806,High,0/0/NA/NA/NA,Manis javanica,2017,China / Guangxi,Beijing Institute of Microbiology and Epidemiology,2020-02-17,Beijing Institute of Microbiology and Epidemiology
BetaCoV/pangolin/Guangxi/P5E/2017,EPI_ISL_410541,GISAID,,Complete,29806,High,4/0/NA/NA/NA,Manis javanica,2017,China / Guangxi,Beijing Institute of Microbiology and Epidemiology,2020-02-17,Beijing Institute of Microbiology and Epidemiology
BetaCoV/pangolin/Guangxi/P2V/2017,EPI_ISL_410542,GISAID,,Complete,29795,High,10/0/NA/NA/NA,Manis javanica,2017,China / Guangxi,Beijing Institute of Microbiology and Epidemiology,2020-02-17,Beijing Institute of Microbiology and Epidemiology
BetaCoV/pangolin/Guangxi/P3B/2017,EPI_ISL_410543,GISAID,,Complete,29801,Low,2441/0/NA/NA/NA,Manis javanica,2017,China / Guangxi,Beijing Institute of Microbiology and Epidemiology,2020-02-17,Beijing Institute of Microbiology and Epidemiology
BetaCoV/pangolin/Guangdong/P2S/2019,EPI_ISL_410544,GISAID,,Complete,29769,Low,8264/27/NA/NA/NA,Manis javanica,2019,China / Guangdong,Beijing Institute of Microbiology and Epidemiology,2020-02-17,Beijing Institute of Microbiology and Epidemiology
BetaCoV/Italy/INMI1-isl/2020,EPI_ISL_410545,GISAID,,Complete,29867,High,1/0/0/2/NO,Homo sapiens,2020-01-29,Italy / Rome,INMI Lazzaro Spallanzani IRCCS,2020-02-17,"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS"
BetaCoV/Italy/INMI1-cs/2020,EPI_ISL_410546,GISAID,,Complete,29785,High,0/0/0/2/NO,Homo sapiens,2020-01-31,Italy / Rome,INMI Lazzaro Spallanzani IRCCS,2020-02-17,"Laboratory of Virology, INMI Lazzaro Spallanzani IRCCS"
BetaCoV/Japan/NA-20-05-1/2020,EPI_ISL_410531,GISAID,,Complete,29878,High,0/0/0/0/NO,Homo sapiens,2020-01-25,Japan / Nara,"Dept. of Pathology, National Institute of Infectious Diseases",2020-02-17,"Pathogen Genomics Center, National Institute of Infectious Diseases"
BetaCoV/Japan/OS-20-07-1/2020,EPI_ISL_410532,GISAID,,Complete,29878,High,0/0/0/0/NO,Homo sapiens,2020-01-23,Japan / Osaka,"Dept. of Pathology, National Institute of Infectious Diseases",2020-02-17,"Pathogen Genomics Center, National Institute of Infectious Diseases"
BetaCoV/Singapore/4/2020,EPI_ISL_410535,GISAID,,Complete,29409,High,0/0/0/3/NO,Homo sapiens,2020-02-03,Singapore,National Centre for Infectious Diseases,2020-02-17,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"
BetaCoV/Singapore/5/2020,EPI_ISL_410536,GISAID,,Complete,29843,High,0/0/0/2/NO,Homo sapiens,2020-02-06,Singapore,"Singapore General Hospital, Molecular Laboratory, Division of Pathology",2020-02-17,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"
SARS-CoV-2/CL5049/human/2020/MYS,MT066159,GenBank,EPI_ISL_410489,Partial,290,High,0/0/NA/NA/NA,Homo sapiens,2020-01-24,Malaysia,,2020-02-14,Natonal Public Health Laboratory
BetaCoV/Henan/IVDC-HeN-002/2020,EPI_ISL_408487,GISAID,,Complete,29892,Low,613/0/NA/NA/NA,Homo sapiens,2020-01-20,China / Henan / Zhengzhou,"National Institute for Viral Disease Control and Prevention, China CDC",2020-02-09,"National Institute for Viral Disease Control & Prevention, China CDC"
BetaCoV/Shanghai/IVDC-SH-001/2020,EPI_ISL_408483,GISAID,,Complete,29893,Low,294/0/NA/NA/NA,Homo sapiens,2020-01-20,China / Shanghai,"National Institute for Viral Disease Control and Prevention, China CDC",2020-02-09,"National Institute for Viral Disease Control & Prevention, CCDC"
BetaCoV/Beijing/IVDC-BJ-005/2020,EPI_ISL_408485,GISAID,,Complete,29890,High,6/0/1/15/YES,Homo sapiens,2020-01-18,China / Beijing,"National Institute for Viral Disease Control and Prevention, China CDC",2020-02-09,"National Institute for Viral Disease Control & Prevention, CCDC"
BetaCoV/Wuhan/IVDC-HB-envF13/2020,EPI_ISL_408511,GISAID,,Partial,28557,High,0/7/NA/NA/NA,Environment,2020-01-01,China / Hubei / Wuhan,"Institute of Viral Disease Control and Prevention, China CDC",2020-02-09,"Institute of Viral Disease Control and Prevention, China CDC"
BetaCoV/Wuhan/IVDC-HB-envF54/2020,EPI_ISL_408512,GISAID,,Partial,25342,High,0/15/NA/NA/NA,Environment,2020-01-01,China / Hubei / Wuhan,"Institute of Viral Disease Control and Prevention, China CDC",2020-02-09,"Institute of Viral Disease Control and Prevention, China CDC"
BetaCoV/Wuhan/IVDC-HB-envB5/2020,EPI_ISL_408513,GISAID,,Partial,1065,High,0/1/NA/NA/NA,Environment,2020-01-01,China / Hubei / Wuhan,"Institute of Viral Disease Control and Prevention, China CDC",2020-02-09,"Institute of Viral Disease Control and Prevention, China CDC"
BetaCoV/France/RA739/2020,EPI_ISL_410486,GISAID,,Complete,29768,Low,829/0/NA/NA/NA,Homo sapiens,2020-02-08,France / Rhone-Alpes / Contamines,CNR Virus des Infections Respiratoires - France SUD,2020-02-14,CNR Virus des Infections Respiratoires - France SUD
SARS-CoV-2/CL5045/human/2020/MYS,MT066157,GenBank,EPI_ISL_410487,Partial,290,High,0/0/NA/NA/NA,Homo sapiens,2020-01-24,Malaysia,,2020-02-14,Natonal Public Health Laboratory
SARS-CoV-2/CL5047/human/2020/MYS,MT066158,GenBank,EPI_ISL_410488,Partial,290,High,0/0/NA/NA/NA,Homo sapiens,2020-01-24,Malaysia,,2020-02-14,Natonal Public Health Laboratory
BetaCov/Taiwan/NTU02/2020,MT066176,GenBank,EPI_ISL_410218,Complete,29870,High,0/0/0/2/NO,Homo sapiens,2020-02-05,China / Taiwan / Taipei,"Department of Laboratory Medicine, National Taiwan University Hospital",2020-02-13,"Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine"
SARS0CoV-2/61-TW/human/2020/ NPL,MT072688,GenBank,EPI_ISL_410301,Complete,29811,High,0/0/0/1/NO,Homo sapiens,2020-01-13,Nepal / Kathmandu,"National Influenza Centre, National Public health Laboratory, Kathmandu, Nepal",2020-02-14,The University of Hong Kong
2019-nCoV_PH_nCOV_20_022,LC523809,GenBank,EPI_ISL_410345,Partial,357,High,0/0/NA/NA/NA,Homo sapiens,2020-01-14,Philippines,,2020-02-11,"Research Institute for Tropical Medicine, Molecular Biology Laboratory"
2019-nCoV_PH_nCOV_20_026,LC523807,GenBank,EPI_ISL_410314,Partial,357,High,0/0/NA/NA/NA,Homo sapiens,2020-01-15,Philippines,,2020-02-11,"Research Institute for Tropical Medicine, Molecular Biology Laboratory"
2019-nCoV_PH_nCOV_20_025,LC523808,GenBank,EPI_ISL_410344,Partial,357,High,0/0/NA/NA/NA,Homo sapiens,2020-01-16,Philippines,,2020-02-11,"Research Institute for Tropical Medicine, Molecular Biology Laboratory"
SARS-CoV-2/Tongji-01/human/2020/CHN,MT042773,GenBank,EPI_ISL_412034,Partial,294,High,0/0/NA/NA/NA,Homo sapiens,2020-01,China,,2020-02-09,"Department of Clinical Laboratory, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
SARS-CoV-2/Tongji-02/human/2020/Wuhan,MT042774,GenBank,EPI_ISL_412035,Partial,294,High,0/0/NA/NA/NA,Homo sapiens,2020-01,China / Hubei,,2020-02-09,"Department of Clinical Laboratory, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
SARS-CoV-2/Tongji-03/human/2020/Wuhan,MT042775,GenBank,EPI_ISL_412036,Partial,294,High,0/0/NA/NA/NA,Homo sapiens,2020-01,China / Hubei,,2020-02-09,"Department of Clinical Laboratory, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
SARS-CoV-2/Tongji-04/human/2020/Wuhan,MT042776,GenBank,EPI_ISL_412037,Partial,294,High,0/0/NA/NA/NA,Homo sapiens,2020-01,China / Hubei,,2020-02-09,"Department of Clinical Laboratory, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
SARS-CoV-2/Tongji-05/human/2020/Wuhan,MT042777,GenBank,EPI_ISL_412038,Partial,294,High,0/0/NA/NA/NA,Homo sapiens,2020-01,China / Hubei,,2020-02-09,"Department of Clinical Laboratory, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
SARS-CoV-2/Tongji-06/human/2020/Wuhan,MT042778,GenBank,EPI_ISL_412039,Partial,294,High,0/0/NA/NA/NA,Homo sapiens,2020-01,China / Hubei,,2020-02-09,"Department of Clinical Laboratory, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
SARS-CoV-2/QLD05/human/2020_FSS918/AUS,MT050417,GenBank,,Partial,562,High,0/0/NA/NA/NA,Homo sapiens,2020-02,Australia / Queensland,,2020-02-11,"Public Health Virology, Queensland Health Forensic and Scientific Services"
SARS-CoV-2/Yunnan-01/human/2020/CHN,MT049951,GenBank,,Complete,29903,High,0/0/0/5/NO,Homo sapiens,2020-01-17,China / Yunnan,,2020-02-09,"Yunnan Center for Disease Control Prevention, Institute for Acute Communicable Disease Prevention and Control"
SNU01,MT039890,GenBank,EPI_ISL_411929,Complete,29903,High,0/0/0/9/NO,Homo sapiens,2020-01,South Korea,,2020-02-11,"Department of Clinical Diagnostics, Macrogen"
BetaCoV/Hong Kong/VB20024950/2020,EPI_ISL_409022,GISAID,,Partial,3822,High,0/0/NA/NA/NA,Homo sapiens,2020-01-29,China / Hong Kong,Princess Margaret Hospital (PMH),2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VM20002162/2020,EPI_ISL_409023,GISAID,,Partial,3822,High,0/0/NA/NA/NA,Homo sapiens,2020-01-31,China / Hong Kong,Queen Elizabeth Hospital (QEH),2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VM20002302/2020,EPI_ISL_409025,GISAID,,Partial,3822,High,0/0/NA/NA/NA,Homo sapiens,2020-02-01,China / Hong Kong,Queen Elizabeth Hospital (QEH),2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VM20002343/2020,EPI_ISL_409026,GISAID,,Partial,3822,High,0/0/NA/NA/NA,Homo sapiens,2020-02-03,China / Hong Kong,Queen Elizabeth Hospital (QEH),2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VM20002345/2020,EPI_ISL_409027,GISAID,,Partial,3822,High,0/0/NA/NA/NA,Homo sapiens,2020-02-03,China / Hong Kong,United Christian Hospital,2020-02-11,Hong Kong Department of Health
BetaCoV/USA/MA1/2020,EPI_ISL_409067,GISAID,,Complete,29882,High,0/1/0/5/NO,Homo sapiens,2020-01-29,United States / Massachusetts,Massachusetts Department of Public Health,2020-02-11,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
SARS-CoV-2/CA6/human/2020/USA,MT044258,GenBank,EPI_ISL_410044,Complete,29858,High,0/0/2/2/NO,Homo sapiens,2020-01-27,United States / California,California Department of Public Health,2020-02-11,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
SARS-CoV-2/IL2/human/2020/USA,MT044257,GenBank,EPI_ISL_410045,Complete,29882,High,0/0/0/7/NO,Homo sapiens,2020-01-28,United States / Illinois,IL Department of Public Health Chicago Laboratory,2020-02-11,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
BetaCoV/Sydney/2/2020,EPI_ISL_408976,GISAID,,Complete,29741,High,0/0/1/3/NO,Homo sapiens,2020-01-22,Australia / New South Wales / Sydney,Centre for Infectious Diseases and Microbiology Laboratory Services,2020-02-11,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney
BetaCoV/Sydney/3/2020,EPI_ISL_408977,GISAID,,Complete,29782,High,0/0/0/1/NO,Homo sapiens,2020-01-25,Australia / New South Wales / Sydney,"Serology, Virology and OTDS Laboratories (SAViD), NSW Health Pathology Randwick",2020-02-11,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Centre for Infectious Diseases and Microbiology Laboratory Services; Westmead Hospital; University of Sydney
BetaCoV/Wuhan/WH05/2020,EPI_ISL_408978,GISAID,,Complete,29667,Low,1408/0/NA/NA/NA,Homo sapiens,2020-02-07,China / Hubei / Wuhan,Wuhan Fourth Hospital,2020-02-11,Beijing Genomics Institute (BGI)
BetaCoV/Hong Kong/VB20017970/2020,EPI_ISL_408994,GISAID,,Partial,3822,High,0/0/NA/NA/NA,Homo sapiens,2020-01-21,China / Hong Kong,Prince of Wales Hospital (PWH),2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VM20001218/2020,EPI_ISL_408995,GISAID,,Partial,3822,High,0/0/NA/NA/NA,Homo sapiens,2020-01-24,China / Hong Kong,Tuen Mun Hospital (TMH),2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VB20019871/2020,EPI_ISL_408996,GISAID,,Partial,3822,High,0/0/NA/NA/NA,Homo sapiens,2020-01-24,China / Hong Kong,Prince of Wales Hospital (PWH),2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VB20019923/2020,EPI_ISL_408997,GISAID,,Partial,3822,High,0/0/NA/NA/NA,Homo sapiens,2020-01-24,China / Hong Kong,Prince of Wales Hospital (PWH),2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VM20001387/2020,EPI_ISL_408998,GISAID,,Partial,3822,High,0/0/NA/NA/NA,Homo sapiens,2020-01-25,China / Hong Kong,Pamela Youde Nethersole Eastern Hospital,2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VM20001464/2020,EPI_ISL_408999,GISAID,,Partial,3822,High,0/0/NA/NA/NA,Homo sapiens,2020-01-25,China / Hong Kong,Prince of Wales Hospital (PWH),2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VM20001403/2020,EPI_ISL_409000,GISAID,,Partial,3822,High,0/0/NA/NA/NA,Homo sapiens,2020-01-26,China / Hong Kong,Tuen Mun Hospital,2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VM20001794/2020,EPI_ISL_409001,GISAID,,Partial,3822,High,0/0/NA/NA/NA,Homo sapiens,2020-01-29,China / Hong Kong,Queen Mary Hospital (QMH),2020-02-11,Hong Kong Department of Health
BetaCoV/Hong Kong/VM20001776/2020,EPI_ISL_409002,GISAID,,Partial,3822,High,0/0/NA/NA/NA,Homo sapiens,2020-01-29,China / Hong Kong,Queen Mary Hospital (QMH),2020-02-11,Hong Kong Department of Health
BetaCoV/Shandong/IVDC-SD-001/2020,EPI_ISL_408482,GISAID,,Complete,29891,High,0/0/0/7/NO,Homo sapiens,2020-01-19,China / Shandong / Qingdao,"National Institute for Viral Disease Control and Prevention, China CDC",2020-02-09,"National Institute for Viral Disease Control & Prevention, CCDC"
2019-nCoV/Japan/TY/WK-012/2020,LC522973,GenBank,EPI_ISL_408665,Complete,29878,High,0/0/0/5/NO,Homo sapiens,2020-01-29,Japan / Tokyo,"Dept. of Virology III, National Institute of Infectious Diseases",2020-02-10,"Pathogen Genomics Center, National Institute of Infectious Diseases"
2019-nCoV/Japan/TY/WK-501/2020,LC522974,GenBank,EPI_ISL_408666,Complete,29878,High,0/0/0/4/NO,Homo sapiens,2020-01-31,Japan / Tokyo,"Dept. of Virology III, National Institute of Infectious Diseases",2020-02-10,"Pathogen Genomics Center, National Institute of Infectious Diseases"
2019-nCoV/Japan/TY/WK-521/2020,LC522975,GenBank,EPI_ISL_408667,Complete,29878,High,0/0/0/5/NO,Homo sapiens,2020-01-31,Japan / Tokyo,"Dept. of Virology III, National Institute of Infectious Diseases",2020-02-10,"Pathogen Genomics Center, National Institute of Infectious Diseases"
BetaCoV/Vietnam/VR03-38142/2020,EPI_ISL_408668,GISAID,,Complete,29889,High,0/0/2/11/YES,Homo sapiens,2020-01-24,Vietnam / Thanh Hoa,National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE),2020-02-10,National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE)
2019-nCoV/Japan/KY/V-029/2020,LC522972,GenBank,EPI_ISL_408669,Complete,29878,High,0/0/0/4/NO,Homo sapiens,2020-01-29,Japan / Kyoto,"Dept. of Virology III, National Institute of Infectious Diseases",2020-02-10,"Pathogen Genomics Center, National Institute of Infectious Diseases"
2019-nCoV/USA-WI1/2020,MT039887,GenBank,EPI_ISL_408670,Complete,29879,High,0/0/1/2/NO,Homo sapiens,2020-01-31,United States / Wisconsin,Wisconsin Department of Health Services,2020-02-10,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention"
Chongqing/YC01/2020,EPI_ISL_408478,GISAID,,Complete,29893,High,0/0/0/5/NO,Homo sapiens,2020-01-22,China / Chongqing / Yongchuan,"Yongchuan District Center for Disease Control and Prevention, Chongqing, China",2020-02-09,"Chongqing Municipal Center for Disease Control and Prevention, Chongqing, China"
Sichuan/IVDC-SC-001/2020,EPI_ISL_408484,GISAID,,Complete,29891,High,0/0/0/6/NO,Homo sapiens,2020-01-16,China / Sichuan / Chengdu,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China",2020-02-09,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China"
Yunnan/IVDC-YN-003/2020,EPI_ISL_408480,GISAID,,Complete,29891,High,0/0/0/3/NO,Homo sapiens,2020-01-18,China / Yunnan / Kunming,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China",2020-02-09,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China"
Taiwan/NTU01/2020,MT066175,GenBank,EPI_ISL_408489,Complete,29870,High,0/0/0/2/NO,Homo sapiens,2020-02-01,China / Taiwan / Taipei,"National Institute for Viral Disease Control & Prevention, CCDC",2020-02-09,"National Institute for Viral Disease Control & Prevention, CCDC"
Wuhan/IVDC-HB-envF13-21/2020,EPI_ISL_408515,GISAID,,Complete,29891,High,0/0/0/3/NO,Environment,2020-01-02,China / Hubei / Wuhan,"Institute of Viral Disease Control and Prevention, China CDC, Beijing, China",2020-02-09,"Institute of Viral Disease Control and Prevention, China CDC, Beijing, China"
France/IDF0626/2020,EPI_ISL_408431,GISAID,,Complete,29851,High,0/0/0/1/NO,Homo sapiens,2020-01-30,France / Ile De France / Paris,"Sorbonne Universite, Inserm et Assistance Publique-Hopitaux de Paris, Paris, France",2020-02-08,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris, France"
Jiangxi/IVDC-JX-002/2020,EPI_ISL_408486,GISAID,,Complete,29891,High,0/0/0/1/NO,Homo sapiens,2020-01-12,China / Jiangxi / Pingxiang,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China",2020-02-09,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China"
Chongqing/ZX01/2020,EPI_ISL_408479,GISAID,,Complete,29893,High,0/0/0/0/NO,Homo sapiens,2020-01-24,China / Chongqing / Zhongxian,"Zhongxian Center for Disease Control and Prevention, Zhongxian, Chongqing Municipality, China",2020-02-09,"Chongqing Municipal Center for Disease Control and Prevention, Chongqing, China"
Jiangsu/IVDC-JS-001/2020,EPI_ISL_408488,GISAID,,Complete,29890,High,0/0/1/2/NO,Homo sapiens,2020-01-20,China / Jiangsu / Huaian,"National Institute for Viral Disease Control & Prevention, CCDC",2020-02-09,"National Institute for Viral Disease Control & Prevention, CCDC"
France/IDF0515/2020,EPI_ISL_408430,GISAID,,Complete,29863,High,0/0/0/3/NO,Homo sapiens,2020-01-30,France / Ile De France / Paris,"Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris, France",2020-02-08,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris, France"
Chongqing/IVDC-CQ-001/2020,EPI_ISL_408481,GISAID,,Complete,29891,High,0/0/0/1/NO,Homo sapiens,2020-01-19,China / Chongqing,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China",2020-02-09,"National Institute for Viral Disease Control and Prevention, China CDC, Beijing, China"
Wuhan/IVDC-HB-envF13-20/2020,EPI_ISL_408514,GISAID,,Complete,29891,High,0/0/0/2/NO,Environment,2020-01-02,China / Hubei / Wuhan,"Institute of Viral Disease Control and Prevention, China CDC, Beijing, China",2020-02-09,"Institute of Viral Disease Control and Prevention, China CDC, Beijing, China"
2019-nCoV_PH_nCOV_20_026,LC522350,GenBank,EPI_ISL_410302,Partial,182,High,0/0/NA/NA/NA,Homo sapiens,2020-01-26,Philippines,,2020-02-06,"Research Institute for Tropical Medicine, Molecular Biology Laboratory"
2019 nCoV/Italy-INMI1,EPI_ISL_408068,GISAID,,Partial,395,High,0/0/NA/NA/NA,Homo sapiens,2020-01-29,Italy / Rome,Virology Laboratory National Institute for Infectious Diseases 'Lazzaro Spallanzani' IRCCS,2020-02-07,Virology Laboratory National Institute for Infectious Diseases 'Lazzaro Spallanzani' IRCCS
2019-nCoV/USA-CA3/2020,MT027062,GenBank,EPI_ISL_408008,Complete,29882,High,0/0/0/3/NO,Homo sapiens,2020-01-29,United States / California,California Department of Health,2020-02-06,"Division of Viral Diseases, Centers for Disease Control and Prevention"
2019-nCoV/USA-CA4/2020,MT027063,GenBank,EPI_ISL_408009,Complete,29882,High,0/0/0/3/NO,Homo sapiens,2020-01-29,United States / California,California Department of Health,2020-02-06,"Division of Viral Diseases, Centers for Disease Control and Prevention"
2019-nCoV/USA-CA5/2020,MT027064,GenBank,EPI_ISL_408010,Complete,29882,High,0/0/0/2/NO,Homo sapiens,2020-01-29,United States / California,California Department of Health,2020-02-06,"Division of Viral Diseases, Centers for Disease Control and Prevention"
BetaCoV/Australia/QLD01/2020,EPI_ISL_407894,GISAID,,Complete,29842,High,0/7/0/11/YES,Homo sapiens,2020-01-28,Australia / Queensland / Gold Coast,Pathology Queensland,2020-02-06,Public Health Virology Laboratory
BetaCoV/Australia/QLD02/2020,EPI_ISL_407896,GISAID,,Complete,29864,High,0/1/0/7/NO,Homo sapiens,2020-01-30,Australia / Queensland / Gold Coast,Pathology Queensland,2020-02-06,Public Health Virology Laboratory
BetaCoV/Australia/NSW01/2020,EPI_ISL_407893,GISAID,,Complete,29782,High,0/0/0/2/NO,Homo sapiens,2020-01-24,Australia / New South Wales / Sydney,Centre for Infectious Diseases and Microbiology Laboratory Services,2020-02-06,NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney
BetaCoV/Belgium/GHB-03021/2020,EPI_ISL_407976,GISAID,,Complete,29882,High,0/0/0/3/NO,Homo sapiens,2020-02-03,Belgium / Leuven,"KU Leuven, Clinical and Epidemiological Virology",2020-02-07,"KU Leuven, Clinical and Epidemiological Virology"
BetaCoV/Singapore/3/2020,EPI_ISL_407988,GISAID,,Complete,29843,High,0/0/0/1/NO,Homo sapiens,2020-02-01,Singapore,National Centre for Infectious Diseases,2020-02-07,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"
BetaCoV/Singapore/2/2020,EPI_ISL_407987,GISAID,,Complete,29844,High,0/0/0/1/NO,Homo sapiens,2020-01-25,Singapore,"Molecular Laboratory, Division of Pathology",2020-02-07,"Programme in Emerging Infectious Diseases, Duke-NUS Medical School"
BetaCoV/Hangzhou/HZCDC0001/2020,EPI_ISL_407313,GISAID,,Complete,29836,High,0/0/0/0/NO,Homo sapiens,2020-01-19,China / Zhejiang / Hangzhou,Hangzhou Center for Disease Control and Prevention,2020-02-05,Hangzhou Center for Disease Control and Prevention
